,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
63,r6Jw8oRCeumxu7Y1WRxT7A,"""D&D Cleaning""",,"""""",Urbana,IL,61802,40.1105875,-88.2072697,5.0,4,0,Home Cleaning;Home Services;Window Washing
70,2pD9wZWXDNsZf_MXd8rQtg,"""Carle Clinic Association""",,"""602 W University Ave""",Urbana,IL,61801,40.116627,-88.2147631,2.5,6,1,Doctors;Health & Medical
156,zV_aclADLjx2KOql9F_FTw,"""Crepe Cafe""",,"""313 E Green St, Ste 5""",Champaign,IL,61820,40.109986,-88.233777,3.0,4,0,Restaurants;Creperies
190,kyXEnWKQGWSThY6EcjORuw,"""Zorba's Restaurant""",,"""627 E Green St""",Champaign,IL,61820,40.110085,-88.229304,4.0,109,1,Restaurants;Greek;Salad;Mediterranean
239,N_W4JlpCw02VPSf5Mrxwqg,"""Dunkin' Donuts""",,"""607 E Green St""",Champaign,IL,61820,40.1101065,-88.2299909,4.0,7,1,Food;Donuts;Coffee & Tea
362,W62GDd3OCQKXoifPHjaTag,"""Essential Healing Therapeutic Massage & Bodywork""",,"""104 W Tomaras Ave""",Savoy,IL,61874,40.0628641,-88.2506726,5.0,11,1,Massage Therapy;Massage;Fitness & Instruction;Beauty & Spas;Day Spas;Health & Medical;Active Life;Yoga
398,zK9uMcGxF7AmZ7lPiB0PKQ,"""The Illini Shop""",,"""707 S 6th St""",Champaign,IL,61820,40.1096976,-88.2305599,3.0,8,1,Sporting Goods;Books;Mags;Music & Video;Fashion;Used Bookstore;Sports Wear;Shopping;Men's Clothing;Souvenir Shops;Bookstores
416,gEJZ5USuvC1r8_QvSvDCNA,"""K-Bowl""",,"""39 E Green St""",Champaign,IL,61820,40.109988,-88.240506,3.5,50,1,Restaurants;Asian Fusion;Korean
477,zAD08AT1GgX-cVNy9iMq4A,"""Activities and Recreation Center - ARC""",,"""201 E Peabody Dr""",Champaign,IL,61820,40.1008296,-88.2355555,4.0,23,1,Gyms;Sports Clubs;Active Life;Recreation Centers;Fitness & Instruction;Badminton
504,Lp-lUqhuXwHuEzeeidYx-A,"""Bell Sports""",,"""1924 County Rd 3000 N""",Rantoul,IL,61866,40.3124148,-88.0953345,4.5,3,1,Shopping;Bikes;Sporting Goods
556,O7mJ04jvwofUzMtKW1-R9w,"""Action Rents""",,"""417 S Century Blvd""",Rantoul,IL,61866,40.305551,-88.155305,2.5,3,1,Event Planning & Services;Party Supplies
562,LGQ0Pggxk-dQNAqVA39v8g,"""Glenn Poor's Audio-Video""",,"""1745 W Kirby Ave""",Champaign,IL,61821,40.0982349,-88.2743131,5.0,3,1,Shopping;Electronics
580,rwuiLDAkVUNEJex-oQlA7g,"""Green Street Realty""",,"""510 S Neil St""",Champaign,IL,61820,40.110645,-88.2429669,1.0,12,1,Commercial Real Estate;Real Estate;Real Estate Services;Home Services;Property Management
625,6n4qUcORUSOsuas4uAZLPA,"""Frazier's Appliance Repair""",,"""2455 County Road 550 E""",Mahomet,IL,61853,40.2525054,-88.3558615,4.5,3,1,Appliances & Repair;Local Services
733,aR0kTa6WEFROLY5dJ4cmrg,"""Green Onion""",,"""2020 S Neil St""",Champaign,IL,61820,40.0909079,-88.2457381,3.5,17,1,Imported Food;Food;Grocery;Ethnic Food;Specialty Food
863,poDxgsg-i02WzqBujqEm-A,"""Mettler Therapy""",,"""2906 Crossing Ct""",Champaign,IL,61822,40.0847989,-88.2917967,5.0,3,1,Beauty & Spas;Massage Therapy;Occupational Therapy;Massage;Health & Medical;Physical Therapy
884,m8lSbR6oLh5zw_IepTLhKg,"""Cost Cutters""",,"""2018 N Prospect Ave, Town Center""",Champaign,IL,61822,40.140669,-88.255187,2.5,3,1,Hair Salons;Beauty & Spas;Hair Stylists;Barbers;Tanning
960,hEjYQlKcn-ClE5rbCN6RBQ,"""United States Post Office""",,"""202 S Broadway Ave""",Urbana,IL,61801,40.1114134,-88.2068363,4.5,3,1,Public Services & Government;Post Offices
967,1fBxvfNd9JZbR5R1YLHmoQ,"""FedEx Office Print & Ship Center""",,"""505 S Mattis Ave""",Champaign,IL,61821,40.111405,-88.277172,3.5,9,1,Local Services;Signmaking;Printing Services;Professional Services;Shipping Centers
1011,VZtXF2A-MNt5J6d6ih7tkA,"""Aldi Grocery""",,"""3102 E University Ave""",Urbana,IL,61802,40.1139068604,-88.1641921997,4.0,7,1,Food;Grocery
1062,rNbAIbTn0zN8yNk0IV7dfQ,"""The Cake Artist's Studio""",,"""1100 W Bloomington Rd""",Champaign,IL,61820,40.135026,-88.263165,4.5,32,1,Event Planning & Services;Grocery;Bakeries;Food;Wedding Planning
1097,zk-TCyb42tf6neJk5X1AuQ,"""Robin's Nest""",,"""515 W Town Center Blvd, Ste 511""",Champaign,IL,61822,40.1413713,-88.2517885,4.5,3,0,Accessories;Used;Vintage & Consignment;Women's Clothing;Fashion;Shopping
1119,6vsjWxIMHs-34L9wuTBJRw,"""The Home Depot""",,"""820 Bloomington Rd""",Champaign,IL,61820,40.1332734002,-88.2559525967,3.0,13,1,Home & Garden;Home Services;Nurseries & Gardening;Building Supplies;Appliances;Hardware Stores;Shopping
1126,HGO_cdDG5iGgkxKsKd_Vcw,"""Hertz Rent A Car""",,"""11 Airport Rd""",Champaign,IL,61874,40.0363225,-88.2640396,1.0,4,1,Hotels & Travel;Car Rental
1291,t6ufZ29wxZ9_zYO5DRPgwA,"""Smoothie King""",,"""616 E Green St, Ste F""",Champaign,IL,61820,40.1105931,-88.2296109,3.0,4,1,Juice Bars & Smoothies;Food;Health Markets;Specialty Food
1315,gxL39GdvV7WCMcFBwoeSgw,"""Millennium Nails""",,"""2000 N Neil St, Ste 605""",Champaign,IL,61820,40.1423318,-88.2429304,3.0,22,1,Beauty & Spas;Nail Salons;Waxing;Hair Removal;Eyelash Service
1341,z3hD4GX5gSJtuqNhN-o2cg,"""I Wok""",,"""113 Calvin St""",Savoy,IL,61874,40.0590115158,-88.2522375155,4.0,30,1,Restaurants;Chinese
1365,zoRCO-nmkMta4OS3gb_prQ,"""Tailwaggers Pet Chateau""",,"""113 E Church St""",Savoy,IL,61874,40.0542456,-88.2500063,3.0,4,1,Pet Groomers;Pet Training;Pets;Pet Sitting;Pet Services
1375,PiD4hteskHnFC4GowN34cw,"""Espresso Royale""",,"""1411 S Neil St""",Champaign,IL,61821,40.0994856,-88.2448316,3.0,35,1,Food;Coffee & Tea
1427,T7TuM9fYi_QIYC3ipg7CzQ,"""Braun-Meyer Apartments""",,"""1905 Nancy Ct""",Champaign,IL,61822,40.0818862,-88.2789513,1.0,4,1,Apartments;Home Services;Real Estate
1632,p1aZIYK6YRG2hFYLxxLtdQ,"""Urban Beauty & Fashion""",,"""1502 N Cunningham Ave, Ste 8""",Urbana,IL,61802,40.1262967,-88.197903,4.5,3,1,Shopping;Cosmetics & Beauty Supply;Beauty & Spas
1634,t8WAeWkpMgb_hDuFs5wVyA,"""Red Wing Shoe Store""",,"""907 W Marketview Dr, Ste 3""",Champaign,IL,61822,40.1377634,-88.2603807,3.5,3,1,Fashion;Shoe Stores;Shopping
1895,wYp3Xog0giOX5CFAv1pZtA,"""Dallas & Co Costumes & Magic""",,"""101 E University Ave""",Champaign,IL,61820,40.116032,-88.238533,4.5,10,1,Party Supplies;Costumes;Shopping;Arts & Crafts;Event Planning & Services
1901,aEk76knbZRbpyC9LvBToFg,"""Green Mobile""",,"""706 W Marketview Dr""",Champaign,IL,61822,40.137859,-88.255574,3.0,4,1,Local Services;Electronics Repair;Mobile Phones;Shopping;Recycling Center
1978,vV6oNhupyM8gEhjmhqLPjQ,"""Anita Purves Nature Center""",,"""1505 N Broadway Ave""",Urbana,IL,61801,40.126648,-88.207736,4.5,5,1,Parks;Active Life
1983,sreTMVo7iojXztJcf-qGRA,"""Rick Ridings Ford""",,"""1817 Ridings Dr""",Monticello,IL,61856,40.053639,-88.5665865,2.5,6,1,Car Dealers;Tires;Automotive;Auto Repair
1991,edT-m7jYpYxnJWmCzlt1sg,"""JP Cool's Bar & Grill""",,"""14 N Jefferson St""",Mansfield,IL,61854,40.2116835515,-88.5055622855,5.0,4,1,Food;Nightlife;Restaurants;Beer;Wine & Spirits;Bars;American (Traditional)
2573,76r8VHva6jgDIAn6rRMuMw,"""Orange Leaf Frozen Yogurt""",,"""512 E Green St""",Champaign,IL,61820,40.1105073,-88.2314522,4.0,6,0,Desserts;Food;Ice Cream & Frozen Yogurt;Do-It-Yourself Food
2574,aFJ8NSdpJi9LcaMm6ICowQ,"""Burger King""",,"""2110 N Prospect Ave""",Champaign,IL,61822,40.1421019,-88.2571648,1.5,14,1,Burgers;Restaurants;Fast Food
2679,vdBpx5l5djH7yJ0SpOy27w,"""Champaign Ford City""",,"""701 W Marketview Dr""",Champaign,IL,61822,40.1363375,-88.2548695,3.0,9,1,Auto Repair;Used Car Dealers;Auto Parts & Supplies;Automotive;Car Dealers
2772,qQu--8A6Ic0rytLfI1r4dg,"""Wendy's""",,"""1905 S Neil St""",Champaign,IL,61820,40.0908819198,-88.2463012616,1.5,3,1,Burgers;Restaurants;Fast Food
2782,reIuSgn4LJv-9YF1hxx_TA,"""Forget Me Not Florals""",,"""2707 Curtis Rd""",Champaign,IL,61822,40.0692716,-88.2921146,2.5,5,1,Flowers & Gifts;Florists;Shopping
2825,C4C2fSGz06_5rLvvM4KweQ,"""Jennifer North""",,"""1705 W Kirby Ave""",Champaign,IL,61820,40.0982232,-88.2738654,4.5,10,0,Shopping;Fashion;Jewelry;Women's Clothing;Cosmetics & Beauty Supply;Beauty & Spas
2928,6WMSw48PHoHboOG33R8OJw,"""Professional Property Management""",,"""401 E Springfield Ave""",Champaign,IL,61820,40.112407,-88.233285,1.5,12,1,Property Management;Home Services;Apartments;Real Estate
2929,WdLhSeiF4VImXkc14gnC9g,"""Jos. Kuhn & Co""",,"""33 E Main St""",Champaign,IL,61820,40.1179288,-88.2416361,4.0,4,1,Fashion;Accessories;Shopping;Men's Clothing
2974,OkD42cWX6WjgDeLFdWSgXA,"""Mike N Molly's""",,"""105 N Market St""",Champaign,IL,61820,40.1165811599,-88.2418391481,4.0,32,0,Pubs;Nightlife;Bars
3014,0ptR21GHRuQ1MFtxGNcxzw,"""Milo's Restaurant""",,"""2870 Philo Rd""",Urbana,IL,61802,40.0838527,-88.1904943,3.5,77,1,American (New);Restaurants
3015,Fo1VZNRK9Prl8oBlpSYXkA,"""Harbor Freight Tools""",,"""1508 N Cunningham Ave""",Urbana,IL,61802,40.1266517,-88.1979037,2.5,3,1,Shopping;Home & Garden;Hardware Stores;Automotive;Auto Parts & Supplies
3033,oxfitpFVyy24JVXw_uzaSg,"""Rantoul Veterinary Clinic""",,"""401 S Maplewood Dr""",Rantoul,IL,61866,40.3086584,-88.1360297,4.0,4,1,Pets;Veterinarians
3071,liYoXFyQEfxabxC0XCejpQ,"""Jiffy Lube""",,"""1901 S Neil St""",Champaign,IL,61820,40.0935474,-88.2457236,3.0,17,1,Oil Change Stations;Automotive
3109,XwhDBNra9t3lgk1JdYlUOQ,"""Hardy's Reindeer Ranch""",,"""1356 County Rd 2900 N""",Rantoul,IL,61866,40.2977909,-88.2022999,3.5,15,1,Hotels & Travel;Ranches;Farms;Tours;Arts & Entertainment
3140,WyuXAT4QZFqI1eOpwLgtjg,"""First Mid-Illinois Bank & Trust""",,"""601 S Vine St""",Urbana,IL,61801,40.1082159,-88.205226,2.5,3,1,Banks & Credit Unions;Financial Services
3141,f9TKxpYgM_xK4cMdFyeEJQ,"""Green Yoga Spa""",,"""302 W Elm St""",Urbana,IL,61801,40.111024,-88.197063,5.0,3,1,Active Life;Beauty & Spas;Massage;Massage Therapy;Yoga;Fitness & Instruction;Health & Medical
3383,400LXhwJuQwYKLknZ3fgJQ,"""The Accord""",,"""51 E Main St""",Champaign,IL,61820,40.1177536,-88.2408818,3.5,14,1,Nightlife;Dance Clubs;Arts & Entertainment;Venues & Event Spaces;Event Planning & Services;Music Venues
3396,hHvaXfiu__yLdO13MkVx-A,"""Champaign Ballet Academy""",,"""2810 W Clark Rd""",Champaign,IL,61822,40.11795,-88.292811,3.0,4,1,Middle Schools & High Schools;Specialty Schools;Arts & Entertainment;Elementary Schools;Education;Performing Arts;Dance Schools
3457,fY0Dpw5a3i1CMjMuT2SaDQ,"""Holy Land Mediterranean Grill""",,"""705 N Neil St""",Champaign,IL,61820,40.1221403,-88.243543,3.5,27,0,Restaurants;Mediterranean;Middle Eastern;Turkish
3517,X_oVdjabSjFpANpEPf7yLg,"""Briella's Boutique""",,"""503 S Dunlap Ave""",Savoy,IL,61874,40.048327,-88.252492,5.0,4,1,Used;Vintage & Consignment;Toy Stores;Pawn Shops;Fashion;Shopping;Thrift Stores
